,Language,Binarytrees,Fannkuchredux,Fasta,Mandelbrot,Nbody,Revcomp,Spectralnorm
0,java-,"(124.79816013958779, 122.82304483082126, 9.8492728386480266, 106.36790784313729, 150.77774190476194)","(405.11117934539431, 240.57568200763797, 76.57610825717147, 164.56012544802869, 1066.7945600706707)","(90.214185916143265, 94.483337785214232, 21.03683411783857, 60.76211093502373, 117.49249823321544)","(206.48002943812321, 116.91464665601282, 84.079334306640959, 103.21128690944882, 621.1605591184684)","(130.0739331276319, 131.10504890848026, 12.759709408780861, 101.94594489465142, 168.0490258906378)","(41.685487603717647, 34.170603894589604, 41.1336344717757, 25.48885182225064, 79.41027831541217)","(117.0482834057584, 111.61366061588328, 11.427023012239383, 94.14773711340204, 144.54883048084758)"
1,javascript-,"(600.63425360721897, 603.40997741707747, 3.4469733965281515, 561.1222145242075, 636.7531030195381)","(2410.670704654503, 925.95345556579616, 96.301205280479579, 655.3251786310516, 6332.39606716414)","(1343.8575576403102, 1370.9243358422955, 6.5479572017978036, 1179.3372843450454, 1479.0036699266575)","('NaN', 'NaN')","(163.02132182555638, 160.78942245594828, 18.848989109480051, 118.77307860615862, 240.63520790377999)","(107.82393613094773, 67.705613131313186, 44.440063811701393, 55.16972138259154, 170.5237247351264)","(108.80965164555191, 104.25543917512792, 23.423208725814323, 78.87507739059954, 168.0009174816626)"
2,python3-,"(3837.5562237942554, 2771.4440006490663, 30.912363992061913, 2702.7291874551997, 5581.049874067146)","(35894.178380916914, 40809.283875714646, 32.826898774000867, 17143.88437885291, 50412.043833335156)","(2909.9586674951092, 2908.9818387097012, 18.178673693867612, 1897.230329872204, 3690.567991442547)","(17597.450210195373, 17667.086542695841, 1.5801091370707059, 16909.435734841954, 17972.895524617623)","(16447.011194307066, 16829.832658291347, 9.5546709221907911, 13724.148265022352, 18914.71234701473)","(71.557123645263644, 68.284837032542939, 20.93773908894628, 51.32220562047856, 91.74881746031751)","(12938.158433481907, 11969.508145765432, 12.178561320703995, 11337.14109534032, 15632.953756529812)"
3,php-,"(16340.077100343004, 13133.505266760809, 33.232287454112672, 10994.938743111674, 26165.866757461983)","(29066.214797911805, 32792.824753084802, 37.099085711695295, 14965.786056701067, 46823.284035211866)","(2835.9383988217273, 2057.3046000000004, 69.59588166151029, 814.7253828522911, 5875.304118989388)","(10600.756536832723, 12636.462400987428, 40.372019046306932, 6157.168982066623, 16066.707486007388)","(9423.3188375802602, 9325.5196662136113, 8.800066624920623, 8000.604606159179, 10463.451040692527)","(17.877944872657583, 12.091973611251133, 48.403679294828379, 9.636940553368829, 32.07147534648187)","(4319.7298324363437, 3997.1492406713041, 35.090489471741193, 2791.8947991031405, 6389.1183745582985)"
4,cs-,"(1224.6096346085133, 998.63465371024722, 49.580623787787864, 588.4124773289352, 2252.9952367491155)","(1178.4560438372355, 1167.6680281752178, 13.361942638705385, 896.5186891774891, 1442.2971324675336)","(135.53115205610723, 137.16491881212798, 12.143784560018096, 87.23808887088047, 161.69957130657534)","(509.28204851465904, 246.74732980456025, 113.40442743105447, 210.39842645739918, 1982.91341077738)","(269.9640927681366, 244.40146357142865, 32.648516109358404, 181.505449066214, 528.0439204946996)","(32.460287781901449, 27.027847607683132, 55.740992842918779, 16.905531720675473, 80.31713523809529)","(119.21663099955813, 104.38270905170339, 76.530939570572841, 15.20888711681854, 240.6954536796537)"
5,yarv-,"(2445.4854241727544, 2454.0485489149778, 8.6993385842383883, 2021.4667212317627, 2868.022120779222)","(43061.03266361553, 44574.589957332464, 10.227540044004375, 36185.30869198824, 50620.03495056027)","(2354.8810061285149, 2282.9636990931472, 23.226597394363566, 1411.2335656401947, 3575.4024862543074)","(19542.139895281583, 15286.658523615513, 41.166914026120665, 12542.397277540571, 37124.96699378338)","(8007.9649756844765, 8479.9492658581585, 8.9847158999129118, 6877.7533869955005, 8774.63807339452)","(88.171400208678676, 102.41063299232736, 33.114131644122239, 54.79767569218241, 127.75866709956725)","(4551.4994187548227, 4510.5029200572235, 16.541512976198526, 3767.778987212282, 5954.4443506493335)"
6,c-flags-,"(375.39604331900665, 354.09371473848898, 15.473461610693537, 310.3773464285716, 480.4199085257545)","(500.04924485316513, 542.3073109540635, 50.667919517383822, 186.7137730099502, 980.2187565298517)","(64.410135913167451, 59.430935443857415, 39.732665949074509, 32.78062220447284, 128.8395055647155)","(171.56571153516728, 97.328833880317802, 87.862574658829601, 32.13081369972125, 490.4802291296627)","(93.001315822873138, 92.617185125447961, 13.908248489572388, 65.53131269968046, 123.41639571428571)","(14.273440837488163, 13.61135399886097, 23.112358430567863, 9.447126627712855, 22.73631183745584)","(41.346732913117414, 31.194962114695365, 69.575726295216029, 18.35713128038897, 100.573377922078)"
7,c-noflags-,"(438.01883362290801, 409.69178747898195, 17.848567254980047, 353.89692369991513, 560.7324706601465)","(934.54870797983949, 677.56568744108631, 65.207392684338743, 199.2522504051861, 2122.4785199999974)","(131.15503749003261, 139.29268054410534, 26.975700535613289, 43.84648718166382, 168.60327821428572)","(423.5832857717283, 236.46632171156915, 87.041122229231135, 74.90989217252387, 1159.7440992857146)","(320.09434939129545, 279.65013662540491, 38.894824348310145, 162.91046924920116, 635.6978733239233)","(24.439410088381109, 24.564488898756643, 34.201765590509666, 11.295085063897755, 38.78428460820884)","(83.677377864078466, 56.246910080183255, 48.680156751135215, 41.99735587089594, 169.24017910447753)"
8,c++-flags-,"(70.151032167880615, 69.773733803805612, 6.3124598760678037, 61.69608338898163, 77.50534643470787)","(383.13046938689644, 466.31212201154051, 40.43171161841326, 201.83813215547715, 618.7507357142857)","(62.652214318174707, 56.777178619940244, 23.708868158999412, 43.09142922744459, 95.6629135005973)","(247.48906128318623, 152.28300182085439, 106.24292813930096, 20.56539998036907, 902.9061214343943)","(94.494752553095523, 93.217469307083547, 17.055385134872651, 67.51018363939902, 132.06287388987565)","(70.635419123138618, 26.275406548679673, 135.7517909312788, 11.018961727879805, 293.0543674911658)","(47.532634113468575, 27.62761750852518, 60.675343113020595, 19.35358889013452, 109.0527271455226)"
9,c++-noflags-,"(752.26661315934348, 804.43100423265173, 10.413699520993015, 647.2056207749359, 846.2467114914418)","(1860.7864362943023, 1627.868218849839, 40.204061858624016, 825.9256828046738, 3091.2779735516333)","(472.1095457930071, 384.39218339026479, 56.927438647628094, 109.37048969889051, 851.012917784052)","(1839.0707213396531, 1103.7587019785656, 97.483127234043664, 657.4080103138989, 6347.687218283566)","(653.42263061103927, 682.52965530903487, 44.429748446265044, 226.25115478119926, 1183.417510261194)","(185.4447055301068, 41.800547096498633, 115.94192509908459, 13.455307820097241, 617.9646483126107)","(95.936517762565003, 29.293015158495002, 115.46212363923736, 27.634138525269275, 334.3135237873132)"
